,,Question,Réponse,
223,FAQ9-223,"Concernant les cercles: Pourtant, l’indice dévoilé nous invite à tracer des cercles?","Ça je ne peux pas être trop précis là-dessus. Il s'agissait sans doute du coup de pouce, mais celui-ci ne concernait pas l'énigme trois.",https://youtu.be/9PSui6ZoY0I?t=3083
224,FAQ9-224,"Concernant le vol d’oiseau, il se fait en une fois? Ou doit-on progresser pour poursuivre son tracé en ligne droite?",Il se fait en une seule fois.,https://youtu.be/9PSui6ZoY0I?t=3099
225,FAQ9-225,La charade nous invite à faire des cercles finalement?,"Non. La charade ne vous  invite pas à faire des cercles. Encore une fois, je crois que vous vous avez mal interprété le coup de pouce qui concernait vraiment la notion d'égale distance et donc était davantage lié à l'énigme cinq.",https://youtu.be/9PSui6ZoY0I?t=3107
226,FAQ9-226,Le thé renversé concerne-t-il le dernier cercle?,"Là-dessus, je ne pourrais pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=3126
227,FAQ9-227,Est-ce que la grappe est dispersée sur l'échiquier?,Non.,https://youtu.be/9PSui6ZoY0I?t=3133
228,FAQ9-228,kv xx est-il en lien avec la charade?,Je ne peux pas répondre à cette question.,https://youtu.be/9PSui6ZoY0I?t=3136
229,FAQ9-229,Auriez-vous pu indifféremment utiliser des majuscules pour kv xx?,"Oui, j'aurais pu mettre kv xx intégralement en majuscules.",https://youtu.be/9PSui6ZoY0I?t=3146
230,FAQ9-230,Diriez-vous en général qu'un oiseau encore dans son œuf pour être qualifié de jeune?,"Oui ou non. Je ne me suis pas posé cette question, donc je ne vois pas très bien en quoi ça pourrait vous être utile. Et je pense que ma réponse pourrait vous induire potentiellement en erreur.",https://youtu.be/9PSui6ZoY0I?t=3154
231,FAQ9-231,"[Bien que les éléments de la charade ait un point commun, sont-ils pour autant de la] même nature?","Oui, ils sont de la même nature.",https://youtu.be/9PSui6ZoY0I?t=3169
232,FAQ9-232,Je comprends que le résultat de la charade s'inscrit dans le fil rouge. Mais les items eux-mêmes ont-ils un lien avec ce fil rouge?,"Là-dessus, je pourrais pas vous dire s'il y a un lien avec le fil rouge.",https://youtu.be/9PSui6ZoY0I?t=3172
233,FAQ9-233,Les lettres en rouge de l'indice un auraient-elles pu être d'une autre couleur?,"Non, elles sont en rouge, elles n’auraient pas pu être dans une autre couleur.",https://youtu.be/9PSui6ZoY0I?t=3182
234,FAQ9-234,La couleur du cavalier est-elle importante pour résoudre la partie?,"Bien sûr, la couleur des cavaliers a été minutieusement réfléchie.",https://youtu.be/9PSui6ZoY0I?t=3190
235,FAQ9-235,Puis-je trouver la pièce de monnaie de l’énigme 5 sans avoir résolu ou avancé sur d'autres énigmes?,Je ne pense pas.,https://youtu.be/9PSui6ZoY0I?t=3199
236,FAQ9-236,"Illustration deux, le pion noir PLUS ULTRA aurait-il pu être dessiné sur la case noire à sa gauche, en bas?","Non. Non, non. Il devait être sur ce pion. Si je me trompe pas, mais en effet, il devait être sur ce pion.",https://youtu.be/9PSui6ZoY0I?t=3205
237,FAQ9-237,Des éléments de langage dans le testament peuvent-ils nous aider à comprendre qui est le personnage?,Pas nécessairement.,https://youtu.be/9PSui6ZoY0I?t=3228
238,FAQ9-238,Le règne de trépas signifie-t-il pour vous un règne extrêmement court ou un règne ayant sa source dans l'au-delà?,Un règne ayant sa source dans l'au-delà.,https://youtu.be/9PSui6ZoY0I?t=3233
239,FAQ9-239,Peut-on résoudre la majorité des énigmes sans savoir qui est le personnage? Je suppose que sa connaissance facilite quand même grandement les choses. N’est-ce pas?,Oui. Pas tant que ça. Elle vous sera utile uniquement à certains moments précis.,https://youtu.be/9PSui6ZoY0I?t=3242
240,FAQ9-240,La compréhension des lignes rouges de l’énigme deux est-elle nécessaire à la résolution de l'échiquier?,Non.,https://youtu.be/9PSui6ZoY0I?t=3255
241,FAQ9-241,"Si je me décidais enfin à continuer à jouer cette partie d'échecs, serait-il très judicieux de ma part de ne plus déplacer les cavaliers?",Je pense qu'il faudra quand même prolonger la partie d'au moins un coup.,https://youtu.be/9PSui6ZoY0I?t=3262
242,FAQ9-242,Est-ce qu'il faut jouer la partie d'échecs jusqu'à la gagner?,Vous n'aurez pas besoin de faire la partie d'échecs dans son intégralité.,https://youtu.be/9PSui6ZoY0I?t=3273
243,FAQ9-243,Est-ce que la pierre d’attente peut faire peur?,Je ne pense pas qu'elle puisse faire peur.,https://youtu.be/9PSui6ZoY0I?t=3281
244,FAQ9-244,Est-ce que les hommes qui tombent se font mal ou passent-ils plutôt un bon moment?,Ils se font plutôt mal.,https://youtu.be/9PSui6ZoY0I?t=3286
245,FAQ9-245,"La chambre  cachée est invisible du promeneur, possiblement située dans un monument, pourtant on peut voir la pierre d’attente depuis la chambre cachée. ""depuis"" signifie-t-il que c'est de l'extérieur ou de l'intérieur de celle-ci que je peux la voir?","C'est à travers la chambre cachée que vous trouverez, que vous pourrez trouver, à l'extérieur, la pierre d'attente.",https://youtu.be/9PSui6ZoY0I?t=3291
246,FAQ9-246,L'endroit où les hommes tombent a-t-il un caractère géologique similaire avec un des endroits où on passe vers la fin de l'énigme six?,"Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=3312
247,FAQ9-247,"Une seule pierre d’attente sera à l'endroit qui me sera utile selon vos dires, cela veut-il dire qu'elle a été choisie parmi d'autres et déplacée pour être à l'endroit où elle se trouve actuellement?","Elle a été choisie parmi d'autres. En effet. Ensuite je ne pourrais pas vous dire si elle est déplacée ou non, mais à ma connaissance, elle n'a jamais été déplacée.",https://youtu.be/9PSui6ZoY0I?t=3321
248,FAQ9-248,Faut-il regarder en hauteur pour trouver la pierre d'attente depuis la chambre cachée?,"Si je parle de la carte ou si je parle de regarder en hauteur comme un être humain regarderait en hauteur, je ne vais pas répondre.",https://youtu.be/9PSui6ZoY0I?t=3341
249,FAQ9-249,Le cavalier du jeu d'échecs aurait-il pu être jaune ou bleu? Merci de ne pas laisser un blanc ou de nous laisser dans le noir à ce sujet histoire de ne pas voir rouge.,Alors le cavalier vert du jeu d'échecs n'aurait pas pu être jaune ou bleu. Tout à fait.,https://youtu.be/9PSui6ZoY0I?t=3355
250,FAQ9-250,"Si c'est une pierre un peu plus allégorique, aurait-on pu remplacer pierre d’attente par pierre de la purification?","Non, on n'aurait pas pu remplacer pierre d’attente par ce terme.",https://youtu.be/9PSui6ZoY0I?t=3367
251,FAQ9-251,"Est-il possible que le coffre soit dissimulé sous une figure de style? Parce que vous avez dit ""je ne peux pas vous dire sous quelle forme est le coffre"".","Non, le coffre n'est pas dissimulé sous une figure de style.",https://youtu.be/9PSui6ZoY0I?t=3377
252,FAQ9-252,"""tout, en ce noir monde, brûle"" et ""le coeur est tout, le tout est prophète"". S'agit-il du même tout?","Non, il ne s'agit pas du même tout.",https://youtu.be/9PSui6ZoY0I?t=3388
253,FAQ9-253,"Dans l’énigme quatre, la relique peut-elle contenir le mal sur le mal ou ne pas avoir de rapport avec le mal?",Elle a un rapport avec le mal mais elle ne contient pas le mal. Elle ne fait pas le mal.,https://youtu.be/9PSui6ZoY0I?t=3395
254,FAQ9-254,Peut-on trouver la relique ou une version moderne de cette relique dans n'importe quelle maison? Ou suis-je totalement dans les choux?,"Alors non, on ne peut pas trouver cette relique n'importe où. Elle ne se trouve qu'à un seul endroit très précis.",https://youtu.be/9PSui6ZoY0I?t=3410
255,FAQ9-255,"Si on pose la question à plusieurs historiens renommés, pourront-ils nous affirmer avec certitude que le personnage sur les visuels a bien existé de façon factuelle? ","Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=3422
256,FAQ9-256,Est-ce qu'on a un point commun avec le personnage? Puisque nous sommes à la recherche de quelque chose et que le personnage l'est aussi. Ce que lui a fini par trouver. Peut on rêver et s'identifier à lui même si je n'ai pas de barbe?,"Oui, vous avez un point commun avec le personnage. Tout à fait. Vous pouvez vous identifier au personnage.",https://youtu.be/9PSui6ZoY0I?t=3431
257,FAQ9-257,Est-ce que Virgile a un lien fort avec cette chasse?,"Non, pas particulièrement.",https://youtu.be/9PSui6ZoY0I?t=3451
258,FAQ9-258,Est-ce que Jean est le bon dans l’E5?,"Est-ce que vous parlez du roi Jean le Bon? Sinon je ne pourrais pas être trop précis. En tout cas, le roi Jean le Bon n'a pas sa place dans l’Élixir d’Or.",https://youtu.be/9PSui6ZoY0I?t=3495
259,FAQ9-259,Est-ce que les raisins peuvent-ils être d'origine extra-terrestre?,"Non, ils ne sont pas d'origine extra-terrestre.",https://youtu.be/9PSui6ZoY0I?t=3511
260,FAQ9-260,"Est-ce qu'ils sont en lien (ndr: les raisins) avec le jade, le cachemire, la manganèse?","Alors il n'y a pas de manganèse, mais il n'y a pas le lien non plus avec les raisins.",https://youtu.be/9PSui6ZoY0I?t=3517
261,FAQ9-261,Est-ce que le mal en nous n'est tout simplement pas notre ego qui nous illusionne sur notre propre être de réalité profonde?,"Ecoutez, je vous laisse seul maître de cette lecture qui n'est pas forcément la mienne.",https://youtu.be/9PSui6ZoY0I?t=3527
262,FAQ9-262,Notre personnage barbu est-il encore vivant à priori?,"Là-dessus, je ne pourrais pas répondre.",https://youtu.be/9PSui6ZoY0I?t=3539
263,FAQ9-263,Est-il possible que la pièce de l'énigme cinq ait été frappée après la date de rédaction du testament en 1784?,"Là-dessus, je ne peux pas vous répondre parce que ça rejoindrait le rapport au temps du Comte.",https://youtu.be/9PSui6ZoY0I?t=3567
264,FAQ9-264,Les hémistiches ont-ils leur importance?,"Bien sûr, les hémistiches ont toujours leur importance pour la poésie classique en tout cas. Et le testament, le poème du testament est en vers classiques.",https://youtu.be/9PSui6ZoY0I?t=3579
265,FAQ9-265,"1,9 mètres est-il une taille moyenne pour vous?","Non, pas du tout. C'est beaucoup trop grand. Je serais plutôt parti sur la taille moyenne qu’on a aujourd'hui.",https://youtu.be/9PSui6ZoY0I?t=3591
266,FAQ9-266,Soixante dix sept fois sept fois est-il utile?,Je ne verrais pas dans quel contexte ça pourrait être utile en tout cas.,https://youtu.be/9PSui6ZoY0I?t=3602
267,FAQ9-267,Tous les items de la charade portent-ils sur le même thème?,La réponse est oui.,https://youtu.be/9PSui6ZoY0I?t=3608
268,FAQ9-268,Je ne sais pas jouer aux échecs. Cela risque-t-il de me gêner?,"Non, tant vous maîtrisez ne serait-ce que les grandes bases. Vous n'avez pas besoin d'être expert.",https://youtu.be/9PSui6ZoY0I?t=3613
269,FAQ9-269,Si on m'interrogeait sur qui de la graine ou de l'arbre est apparu en premier et que je répondais aucun des deux. [Seriez-vous d’accord]?,Je dirais que l'arbre est apparu avant la graine.,https://youtu.be/9PSui6ZoY0I?t=3761
270,FAQ9-270,Vous avez répondu que l'arbre du visuel un n'a pas été abattu dans une FAQ précédente. Faut-il comprendre que le symbole qu'il représente n'a pas été mis à terre et qu'il est toujours debout de nos jours?,Tout à fait.,https://youtu.be/9PSui6ZoY0I?t=3772
271,FAQ9-271,"Sur l'échiquier, nous avons quatre cavaliers de couleurs apparemment différentes. Si dans une énigme, nous avions trois cavaliers. Pouvons-nous raisonnablement penser que nous pourrions être le quatrième? Ou que le personnage barbu serait ce quatrième? Ou plus simplement que ce quatrième cavalier poursuit une quête?","Vous pourriez le penser. Je ne pourrais pas vous dire si c'est la bonne ou une mauvaise solution, mais en tout cas, je vous confirme qu'il y a bien quatre cavaliers de couleurs différentes et qu'ils [ont très certainement] un [rôle à jouer.] Voilà, c'est tout ce que je pourrais vous dire à ce sujet. Je pourrais pas préciser l'identité de ces quatre cavaliers, ni à quel moment ils peuvent vous être utiles dans la quête. Mais une identification avec un des cavaliers peut tout à fait se comprendre.",https://youtu.be/9PSui6ZoY0I?t=3784
272,FAQ9-272,"Sans prendre le coup de pouce numéro deux en compte, que vous avez fait dernièrement là, est-il possible d'avoir plusieurs arcs et du coup, de tirer plusieurs traits tant au sens premier qu'au sens figuré?","Alors, sur le coup de pouce numéro deux, il faisait clairement référence à l'énigme écrite cinq, à savoir que vous allez trouver deux lieux: Mon premier, mon second. Et donc je vous invitais comme coup de pouce à pouvoir tracer d’un même rayon deux arcs de cercle afin de vous faciliter la tâche pour la suite de l'énigme.",https://youtu.be/9PSui6ZoY0I?t=3821
273,FAQ9-273,"Ma question, c'était sans prendre le coup de pouce en compte. Est-ce qu'il existe d'autres arcs? Ce qui nous permettrait de pouvoir tirer plusieurs traits, tant au sens premier que au sens figuré? Ça peut être un arc ciel, un arc... je sais pas, un arc, un arc électrique... un arc quoi.","Là dessus, je ne peux pas vous dire s'il y a d'autres arcs de cercle à tracer dans le jeu. Des arcs au sens plus large? Alors dans les énigmes en elles-mêmes: non, pas à ma connaissance. Après, sur le terrain, je vous laisserais seul juge d'observation, ou de toponymie, mais en tout cas pas dans les énigmes stricto sensu.",https://youtu.be/9PSui6ZoY0I?t=3821
274,FAQ9-274,"Alors, si le cachemire, le fer et le jade subissaient les affres du temps, leur utilité pour la chasse, s’en trouverait-elle, respectivement, altérée, renforcée ou sans conséquence? [Sont-il figés?]","Leur utilité resterait strictement la même, parce que le cachemire, le fer et la jade, dans le contexte de la chasse, ne sont pas altérables. [Ils sont figés]",https://youtu.be/9PSui6ZoY0I?t=3902
275,FAQ9-275,"La connaissance véhiculée par le lierre,  se transmet-elle oralement ou par écrit?",Elle se transfère matériellement.,https://youtu.be/9PSui6ZoY0I?t=3924
276,FAQ9-276,La chambre cachée a-t-elle également été oubliée pour être retrouvée à notre époque contemporaine?,"Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=3933
277,FAQ9-277,Plante-t-on toujours de nos jours le lierre dont s'inspire celui de la connaissance?,On ne plante plus aujourd'hui le lierre de la connaissance comme on pouvait le faire au moment où le Comte en parle.,https://youtu.be/9PSui6ZoY0I?t=3949
278,FAQ9-278,Est-ce qu'un coup d'épée dans l'eau pourrait exceptionnellement nous servir? Contrairement à ce que cette expression signifie habituellement.,Oui.,https://youtu.be/9PSui6ZoY0I?t=3968
279,FAQ9-279,Le CSG est-il familier des calligrammes? [Les connait-il?],Pas dans le contexte de la chasse. [Oui il les connait],https://youtu.be/9PSui6ZoY0I?t=3976
280,FAQ9-280,La déchéance des hommes est-elle la cause ou le résultat de leur chute?,"Avec une minuscule vous voulez dire? Juste la ""chute"" des hommes pas la ""Chute""? “C” majuscule, je vous dirai ça n'a pas de rapport avec le jeu. Si c'est la chute en minuscule, la cause suivie par les hommes, en effet, est à l'origine de leur chute. La cause au sens de doctrine.",https://youtu.be/9PSui6ZoY0I?t=3982
281,FAQ9-281,Cette déchéance se manifeste-t-elle comme une malédiction qui se transmet de génération en génération?,"Pas sur les deux (ndr mals).  Sur le mal jumeau, vous avez fait une très bonne remarque. Sur le premier mal, je serais un peu moins clair.",https://youtu.be/9PSui6ZoY0I?t=4018
282,FAQ9-282,"In fine, les enfants sont-ils punis pour les fautes, les péchés de leurs parents?","Oui. Je suppose qu'en effet, la doctrine des enfants résulte directement de l'influence de leurs parents.",https://youtu.be/9PSui6ZoY0I?t=4035
283,FAQ9-283,"Si au sujet du poème, je vous demandais de le qualifier, serait-il gigogne ou composite?",Je dirais qu'il est plutôt composite.,https://youtu.be/9PSui6ZoY0I?t=4045
284,FAQ9-284,"La citation suivante de Saint-Exupéry pourrait-elle avoir sa place dans la chasse: ""On ne voit bien qu'avec le cœur, l'essentiel est invisible pour les yeux""?","Je dirais que cette phrase est très pertinente sur quelques éléments du jeu, notamment sur ce qui pourrait concerner l’or.",https://youtu.be/9PSui6ZoY0I?t=4064
285,FAQ9-285,"Je vous ai fait une allusion au Petit Poucet et à ses miettes (ndr: dans une faq précédente). Alors je vais rester dans les contes cette fois-ci. J'aimerais bien vous parler du miroir de la méchante reine dans Blanche-Neige. Le personnage barbu, déjà, pourrait-il se voir correctement dans ce miroir? Et que lui répondrait le miroir si le personnage lui demandait ""Serais-je quelqu'un d'autre sans ma barbe?"". Le personnage ne changerait pas d'identité à travers le miroir, bien que changeant d'apparence s'il n'avait pas de barbe?",Oui (ndr: il pourrait se voir correctement dans ce miroir). Je ne pense pas qu'il pourrait toujours lui répondre que ce personnage est beau. Je ne pense pas non plus qui pourrait lui dire que c'est une autre personne que le personnage que le miroir a en face. [Il ne changerait pas d'identité à travers le miroir bien que changeant d'apparence s'il n'avait pas de barbe],https://youtu.be/9PSui6ZoY0I?t=4095
286,FAQ9-286,"Alors une petite question, c’est à la façon dont vous répondez des fois. Vous répondez parfois sur certaines, bizarrement pas ce soir, vous répondez souvent ""à priori"". C’est une expression  que vous employez souvent. Est-ce que c'est parce que vous faites preuve de réserve et que c'est une manière de nuancer vos réponses? Est-ce que c'est juste histoire de laisser planer un doute? Ou tout simplement un tic de langage?","Par modestie, je dirais que c'est d'abord un tic de langage. Ensuite, parce que je suis obligé de nuancer quasiment l'intégralité de mes réponses ou en tout cas de gagner un peu de temps pour réfléchirà la réponse que je vais apporter. Sinon je risquerais de faire des lapsus. Donc oui, c'est sans doute un peu des deux.",https://youtu.be/9PSui6ZoY0I?t=4139
287,FAQ9-287,"Si l'envie me prenait d'imprimer ou de photocopier des éléments textuels ou visuels du parchemin, le contenu d'une version numérique ou papier pour les retravailler, par exemple faire du découpage, du décalquage, du collage, enfin, ça fait un peu loisir créatif. Trouveriez-vous ça iconoclaste et inutile?","Alors, ça serait une très bonne observation à faire, notamment s'il y avait par exemple de la géométrie sacrée dans les visuels. Donc là dessus, je pourrais pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=4179
288,FAQ9-288,"1. Les homonymies et les topies, utopie, dystopie, et cetera, ont-elles leur place dans cette chasse? 2. Et les dystopies? 3. Et les eutopies aussi? Alors eutopie, c'est plus sur un lieu. C'est la même chose que l'utopie sauf que l'utopie, c'est plus général, on va dire. Une eutopie c'est plus axé sur quelque chose de précis.","1. Oui, tout à fait. 2. Aussi. 3. C'est possible que certains lieux un peu emblématiques pourraient rentrer dans ce cadre là. Mais ce sera pas une vérité  très importante sur les éléments cruciaux de la chasse.",https://youtu.be/9PSui6ZoY0I?t=4216
289,FAQ9-289,"1. Si je vous disais que je perçois une analogie avec certains éléments de la chasse, pas forcément majeurs, et les prochains J.O à Paris. Seriez-vous d'accord? 2. Une mascotte par exemple?","1. Alors les J.O, le symbole des J.O, c'est des cercles, il y a des cercles dans la chasse. A part ça, non, je pense pas. 2. Le bonnet phrygien? Alors il n'y a pas de référence poussée à la Révolution française, en tout cas dans le déroulé des événements de la Révolution française, dans l'Élixir.",https://youtu.be/9PSui6ZoY0I?t=4254
290,FAQ9-290,"Le fait que la croix sur le vêtement du personnage disparaisse dans certains visuels amène-t-il à penser qu'il y aurait un ordre  chronologique dans les visuels? Et si oui, quelle serait la place du visuel à la croix dans cette chronologie? Début, milieu?","Ça m'embête parce que je ne pourrais pas vous répondre sur la chronologie des visuels, ni vous donner les éléments qui vous permettraient de trouver la chronologie des visuels.",https://youtu.be/9PSui6ZoY0I?t=4284
291,FAQ9-291,"L'ancien animateur de jeu Guy Lux, j’étais très fan avec le fil rouge dans un autre contexte, aurait-il eu tout ou partie sa place dans cette quête, sachant que Guy signifie bois et Lux signifie lumière?","Juste par rapport à son nom de famille, oui. Forcément qu'il aurait pu trouver un intérêt au jeu. Après par rapport à son métier ou ce qu'il a pu faire, ça j'en suis moins certain.",https://youtu.be/9PSui6ZoY0I?t=4313
292,FAQ9-292,Le coffre peut-il se trouver en dehors de la Bourgogne?,"La réponse est oui, bien sûr, il peut se trouver n'importe où en France métropolitaine.",https://youtu.be/9PSui6ZoY0I?t=4378
293,FAQ9-293,Le pion PLUS ULTRA n'est pas le même que les autres pions noirs en taille. Est-ce normal?,"Ça me paraît pas normal. Normalement il fait exactement la même taille. C'est, peut-être, comme il est plus avancé que les autres pions, l'artiste a sans doute voulu le représenter plus gros pour tenir compte des distances.",https://youtu.be/9PSui6ZoY0I?t=4390
294,FAQ9-294,Le personnage a-t-il plus de 35 ans?,Je ne pourrai pas en dire plus.,https://youtu.be/9PSui6ZoY0I?t=4410
295,FAQ9-295,C’est quoi une taille normale? (ndr: taille annoncée moyenne et normale pour le personnage),"Ça évolue en fonction, en fonction des pays. Mais c'était pour vous donner à peu près une fourchette.",https://youtu.be/9PSui6ZoY0I?t=4417
296,FAQ9-296,Ai-je tort d’affirmer que le cavalier rouge est le cavalier vert?,"Pour moi vous avez tort, en effet, d'affirmer ça. Le cavalier rouge n'est pas le cavalier vert.",https://youtu.be/9PSui6ZoY0I?t=4422
297,FAQ9-297,Aurait-elle pu se situer sur l'autre épaule en regardant le parchemin avec nos yeux et sans miroir? (ndr: la croix pattée sur l'illustration un),La Croix n'aurait pas pu être sur l'autre épaule.,https://youtu.be/9PSui6ZoY0I?t=4432
298,FAQ9-298,Est-ce que les quatre cavaliers sont cardinaux?,"C'est une bonne remarque, mais je ne peux pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=4447
299,FAQ9-299,"Bilan après neuf mois de chasse et en fonction de l'état d'avancement, pensez-vous que la chasse peut tenir encore combien de temps?","Et bien, avec l'indice que j'ai donné, je pense qu'on devrait être sur la fourchette basse du calibrage. Donc, je dirais deux/trois ans, mais ça reste une estimation au doigt mouillé. Donc difficile d'être très précis là dessus.",https://youtu.be/9PSui6ZoY0I?t=4458
300,FAQ9-300,Le joueur le plus avancé a complété combien de pourcentage de la chasse?,"Alors je ne sais pas. Je ne sais pas parce que je n'arrive pas à bien retracer les réponses correspondant. Quand quelqu’un m’envoie son cheminement complet par mail, c'est facile d'en estimer l'avancement. Mais quand c'est un sondage anonyme, c'est beaucoup plus compliqué. Ce que je peux dire, c'est qu'on était à peu près à deux tiers, 70 %, des éléments totaux qui ont été décryptés, résolus, il y a trois mois. Et qu'aujourd'hui on doit approcher les 80 %. Mais c’est réparti entre plusieurs joueurs. Et donc sans doute que le joueur le plus avancé n'a pas 80 %. Je pense qu'il devrait plutôt  être autour de la moitié.",https://youtu.be/9PSui6ZoY0I?t=4479
301,FAQ9-301,Mon premier ou sa déclinaison dans la charade a-t-il souffert des cendres? (ndr: parlant de l'énigme quatre) Est-ce qu'il a vu les hommes tomber?,Je vous répondrai que non (ndr: aux deux questions),https://youtu.be/9PSui6ZoY0I?t=4520
302,FAQ9-302,Certaines [proportions dans le testament sont-elles à garder pour certaines énigmes?],Je ne peux pas répondre à cette question.,https://youtu.be/9PSui6ZoY0I?t=4537
303,FAQ9-303,Le fait d'être marié et amoureux peut-il nous aider à un moment?,"Non, ça ne peut pas vous aider.",https://youtu.be/9PSui6ZoY0I?t=4540
304,FAQ9-304,Vous confirmez que 3C64 n'est pas une couleur?,"Oui, je le confirme.",https://youtu.be/9PSui6ZoY0I?t=4545
305,FAQ9-305,1. L’un des éléments dans le visuel deux peut-il considérablement nous aider dans la résolution de la deuxième partie de l’énigme cinq? 2. Je parle de la pièce,"1. Non, je ne pense pas. Non, pas du tout. 2. Sur la pièce, ce que j'ai pu dire dans la FAQ, c’est que l’énigme cinq écrite, en elle-même, ne vous permettrait pas de trouver à elle seule la pièce. Donc forcément, qu'il faudra piocher dans d'autres éléments du parchemin pour la trouver correctement.",https://youtu.be/9PSui6ZoY0I?t=4550
306,FAQ9-306,"L’indice a confirmé mon choix pour la pièce à utiliser. Néanmoins, la distance est encore trop élevée pour être cohérente et il semble nécessaire de la comparer à une autre pièce. Pourtant, cette deuxième pièce a varié au fil du temps. Avons-nous des moyens pour la choisir précisément avec certitude?","Oui, vous avez des moyens. Un moyen d'ailleurs, qui est très simple une fois que vous êtes proche, je veux dire, de l’avoir trouvé. Trouver la pièce est une des étapes les plus difficiles de l'Élixir.",https://youtu.be/9PSui6ZoY0I?t=4577
307,FAQ9-307,La chronologie des images est-elle guidée par le soleil et les astres?,"En effet, vous pourriez imaginer que le temps, l'horaire de la journée n'est pas le même sur les six visuels. Et pour être très exact, on va plutôt être sur le soir sur le visuel un. La nuit pour les trois visuels qui suivent. Sur l’aube pour le visuel cinq. Et sur le zénith pour le visuel numéro six.",https://youtu.be/9PSui6ZoY0I?t=4633
308,FAQ9-308,Me voilà sorti de la chambre cachée. Je me sens transformée. Changée. Est-ce normal?,"Je ne pense pas que la chambre cachée ait un tel effet sur vous, même si forcément un certain frisson peut vous parcourir. Ce ne sera pas non plus un effet transcendant ou transformant.",https://youtu.be/9PSui6ZoY0I?t=4659
309,FAQ9-309,Les cercles de l'énigme trois sont-ils des trous?,Il ne s'agit pas de trous.,https://youtu.be/9PSui6ZoY0I?t=4680
310,FAQ9-310,L'écoulement du sable dans l'illustration une est-il à prendre en considération uniquement pour l’illustration une ou pour d'autres éléments de la chasse?,"Il est à prendre en considération pour l'illustration une, et en effet, pour d’autres éléments de la chasse.",https://youtu.be/9PSui6ZoY0I?t=4686
311,FAQ9-311,Le pion PLUS ULTRA n’est pas le même que les autres en termes de taille.,"Là-dessus, je pense que c'est une question de proportions et de... je crois qu’ils ont un nom spécial les artistes pour ça, mais des lignes de profondeur ou d'horizon.",https://youtu.be/9PSui6ZoY0I?t=4703
312,FAQ9-312,Donc vous confirmez que le pion PLUS ULTRA fait bien partie du jeu des Noirs?,"En effet, je le confirme.",https://youtu.be/9PSui6ZoY0I?t=4719
313,FAQ9-313,Le personnage a-t-il vécu en France?,"Là-dessus, je ne peux pas répondre.",https://youtu.be/9PSui6ZoY0I?t=4724
314,FAQ9-314,"La découverte de la chambre cachée nous fait-elle comprendre ""des innombrables châteaux""?",Non.,https://youtu.be/9PSui6ZoY0I?t=4728
315,FAQ9-315,"Dans l’énigme trois, tracer un seul cercle suffit pour prouver le mal. Mais depuis notre centre 3C64, ou d’un autre centre, y’aurait-il un ou plusieurs autres cercles à tracer qui pourraient nous permettre de trouver des choses pertinentes dans cette énigme?",Il n'y a qu'un seul cercle à tracer. Voilà. Peu importe le cercle que vous retenez dans l’énigme trois il n’y a qu’un seul cercle a tracer et qui vous permet de trouver une chose pertinente par ailleurs. A savoir le mal.,https://youtu.be/9PSui6ZoY0I?t=4733
316,FAQ9-316,Est-ce que chercher la pièce dans un cratère peut être une bonne idée?,"Non, ce n'est pas une bonne idée.",https://youtu.be/9PSui6ZoY0I?t=4765
317,FAQ9-317,La chambre cachée a-t-elle servie de refuge pour échapper à des ennemis?,La réponse est non.,https://youtu.be/9PSui6ZoY0I?t=4770
318,FAQ9-318,"Pour trouver le lieu familier, devons-nous porter notre regard encore plus loin?",Non.,https://youtu.be/9PSui6ZoY0I?t=4776
319,FAQ9-319,Me faut-il un appareil spécifique ou des connaissances particulières pour voir la pierre d'attente au travers de la chambre cachée?,"Non, à part les outils que je vous ai donné et qui sont sur le parchemin, vous n’aurez pas besoin d’appareils spécifiques.",https://youtu.be/9PSui6ZoY0I?t=4781
320,FAQ9-320,"Vous avez affirmé ce soir que la charade nous donne un lieu, probablement malgré vous, mais c'est trop tard. Ce lieu se situe-t-il en France?","Ce lieu, qui est donné par la charade, vous permet de trouver la première relique. Et comme j'ai dit que la relique était réelle et tangible, il me semble en effet important de vous dire qu'il faut bien trouver un lieu à un moment donné. Et par contre, je ne pourrais pas vous dire où ce lieu se trouve.",https://youtu.be/9PSui6ZoY0I?t=4795
321,FAQ9-321,Saint-Estèphe de l’énigme cinq fait-il référence à une unique chose?,"Oui, il fait référence à une unique chose, à savoir la ville de Saint-Estèphe.",https://youtu.be/9PSui6ZoY0I?t=4816
322,FAQ9-322,Peut-on déduire les différents éléments de la charade à partir du visuel quatre?,"Là-dessus, je ne peux pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=4845
323,FAQ9-323,Le fait que la chasse soit pour certains un vrai calvaire ne serait-il pas finalement une bonne chose si je joue sur cette expression?,"Oui, ça peut être, en quelque sorte, une bonne chose. Je ne pourrais pas vous dire sur quels éléments précisément.",https://youtu.be/9PSui6ZoY0I?t=4852
